Update,Total Number of Messages Sent,Self IDs,Real IDs,Highest IDs
83100,4.05E+09,748900,4.05E+09,1.98E+07
83200,4.06E+09,748900,4.06E+09,1.99E+07
83300,4.06E+09,748900,4.06E+09,1.99E+07
83400,4.07E+09,748900,4.07E+09,1.99E+07
83500,4.08E+09,748900,4.08E+09,2.00E+07
83600,4.08E+09,748900,4.08E+09,2.00E+07
83700,4.09E+09,748900,4.09E+09,2.00E+07
83800,4.09E+09,748900,4.09E+09,2.01E+07
83900,4.10E+09,748900,4.10E+09,2.01E+07
84000,4.11E+09,748900,4.11E+09,2.01E+07
84100,4.11E+09,748900,4.11E+09,2.02E+07
84200,4.12E+09,748900,4.12E+09,2.02E+07
84300,4.12E+09,748900,4.12E+09,2.02E+07
84400,4.13E+09,748900,4.13E+09,2.03E+07
84500,4.14E+09,748900,4.14E+09,2.03E+07
84600,4.14E+09,748900,4.14E+09,2.03E+07
84700,4.15E+09,748900,4.15E+09,2.03E+07
84800,4.15E+09,748900,4.15E+09,2.04E+07
84900,4.16E+09,748900,4.16E+09,2.04E+07
85000,4.16E+09,748900,4.16E+09,2.04E+07
85100,4.17E+09,748900,4.17E+09,2.04E+07
85200,4.18E+09,748900,4.18E+09,2.05E+07
85300,4.18E+09,748900,4.18E+09,2.05E+07
85400,4.19E+09,748900,4.19E+09,2.06E+07
85500,4.20E+09,748900,4.20E+09,2.06E+07
85600,4.20E+09,748900,4.20E+09,2.06E+07
85700,4.21E+09,748900,4.21E+09,2.06E+07
85800,4.22E+09,748900,4.22E+09,2.07E+07
85900,4.22E+09,748900,4.22E+09,2.07E+07
86000,4.23E+09,748900,4.23E+09,2.07E+07
86100,4.24E+09,748900,4.24E+09,2.08E+07
86200,4.24E+09,748900,4.24E+09,2.08E+07
86300,4.25E+09,748900,4.25E+09,2.09E+07
86400,4.26E+09,748900,4.26E+09,2.09E+07
86500,4.27E+09,748900,4.27E+09,2.09E+07
86600,4.27E+09,748900,4.27E+09,2.10E+07
86700,4.28E+09,748900,4.28E+09,2.10E+07
86800,4.29E+09,748900,4.29E+09,2.10E+07
86900,4.30E+09,748900,4.30E+09,2.11E+07
87000,4.30E+09,748900,4.30E+09,2.11E+07
87100,4.31E+09,748900,4.31E+09,2.11E+07
87200,4.32E+09,748900,4.32E+09,2.12E+07
87300,4.32E+09,748900,4.32E+09,2.12E+07
87400,4.33E+09,748900,4.33E+09,2.13E+07
87500,4.34E+09,748900,4.34E+09,2.13E+07
87600,4.35E+09,748900,4.35E+09,2.13E+07
87700,4.35E+09,748900,4.35E+09,2.14E+07
87800,4.36E+09,748900,4.36E+09,2.14E+07
87900,4.37E+09,748900,4.37E+09,2.14E+07
88000,4.37E+09,748900,4.37E+09,2.15E+07
88100,4.38E+09,748900,4.38E+09,2.15E+07
88200,4.39E+09,748900,4.39E+09,2.15E+07
88300,4.39E+09,748900,4.39E+09,2.16E+07
88400,4.40E+09,748900,4.40E+09,2.16E+07
88500,4.41E+09,748900,4.41E+09,2.16E+07
88600,4.41E+09,748900,4.41E+09,2.16E+07
88700,4.42E+09,748900,4.42E+09,2.17E+07
88800,4.42E+09,748900,4.42E+09,2.17E+07
88900,4.43E+09,748900,4.43E+09,2.17E+07
89000,4.44E+09,748900,4.44E+09,2.17E+07
89100,4.44E+09,748900,4.44E+09,2.18E+07
89200,4.45E+09,748900,4.45E+09,2.18E+07
89300,4.45E+09,748900,4.45E+09,2.18E+07
89400,4.46E+09,748900,4.46E+09,2.19E+07
89500,4.46E+09,748900,4.46E+09,2.19E+07
89600,4.47E+09,748900,4.47E+09,2.19E+07
89700,4.48E+09,748900,4.48E+09,2.19E+07
89800,4.48E+09,748900,4.48E+09,2.20E+07
89900,4.49E+09,748900,4.49E+09,2.20E+07
90000,4.49E+09,748900,4.49E+09,2.20E+07
90100,4.50E+09,748900,4.50E+09,2.21E+07
90200,4.50E+09,748900,4.50E+09,2.21E+07
90300,4.51E+09,748900,4.51E+09,2.21E+07
90400,4.52E+09,748900,4.52E+09,2.21E+07
90500,4.52E+09,748900,4.52E+09,2.22E+07
90600,4.53E+09,748900,4.53E+09,2.22E+07
90700,4.53E+09,748900,4.53E+09,2.22E+07
90800,4.54E+09,748900,4.54E+09,2.23E+07
90900,4.54E+09,748900,4.54E+09,2.23E+07
91000,4.55E+09,748900,4.55E+09,2.23E+07
91100,4.55E+09,748900,4.55E+09,2.23E+07
91200,4.56E+09,748900,4.56E+09,2.24E+07
91300,4.56E+09,748900,4.56E+09,2.24E+07
91400,4.57E+09,748900,4.57E+09,2.24E+07
91500,4.57E+09,748900,4.57E+09,2.24E+07
91600,4.58E+09,748900,4.58E+09,2.25E+07
91700,4.58E+09,748900,4.58E+09,2.25E+07
91800,4.59E+09,748900,4.59E+09,2.25E+07
91900,4.60E+09,748900,4.60E+09,2.25E+07
92000,4.60E+09,748900,4.60E+09,2.26E+07
92100,4.61E+09,748900,4.61E+09,2.26E+07
92200,4.61E+09,748900,4.61E+09,2.26E+07
92300,4.62E+09,748900,4.62E+09,2.27E+07
92400,4.62E+09,748900,4.62E+09,2.27E+07
92500,4.63E+09,748900,4.63E+09,2.27E+07
92600,4.63E+09,748900,4.63E+09,2.27E+07
92700,4.64E+09,748900,4.64E+09,2.27E+07
92800,4.64E+09,748900,4.64E+09,2.28E+07
92900,4.65E+09,748900,4.65E+09,2.28E+07
93000,4.65E+09,748900,4.65E+09,2.28E+07
93100,4.66E+09,748900,4.66E+09,2.28E+07
93200,4.66E+09,748900,4.66E+09,2.29E+07
93300,4.67E+09,748900,4.67E+09,2.29E+07
93400,4.67E+09,748900,4.67E+09,2.29E+07
93500,4.68E+09,748900,4.68E+09,2.30E+07
93600,4.68E+09,748900,4.68E+09,2.30E+07
93700,4.69E+09,748900,4.69E+09,2.30E+07
93800,4.69E+09,748900,4.69E+09,2.30E+07
93900,4.70E+09,748900,4.70E+09,2.30E+07
94000,4.70E+09,748900,4.70E+09,2.31E+07
94100,4.71E+09,748900,4.71E+09,2.31E+07
94200,4.71E+09,748900,4.71E+09,2.31E+07
94300,4.72E+09,748900,4.72E+09,2.31E+07
94400,4.72E+09,748900,4.72E+09,2.32E+07
94500,4.73E+09,748900,4.73E+09,2.32E+07
94600,4.73E+09,748900,4.73E+09,2.32E+07
94700,4.74E+09,748900,4.74E+09,2.32E+07
94800,4.74E+09,748900,4.74E+09,2.33E+07
94900,4.75E+09,748900,4.75E+09,2.33E+07
95000,4.75E+09,748900,4.75E+09,2.33E+07
95100,4.76E+09,748900,4.76E+09,2.33E+07
95200,4.76E+09,748900,4.76E+09,2.34E+07
95300,4.77E+09,748900,4.77E+09,2.34E+07
95400,4.77E+09,748900,4.77E+09,2.34E+07
95500,4.78E+09,748900,4.78E+09,2.34E+07
95600,4.78E+09,748900,4.78E+09,2.35E+07
95700,4.79E+09,748900,4.79E+09,2.35E+07
95800,4.80E+09,748900,4.80E+09,2.35E+07
95900,4.80E+09,748900,4.80E+09,2.35E+07
96000,4.81E+09,748900,4.81E+09,2.36E+07
96100,4.81E+09,748900,4.81E+09,2.36E+07
96200,4.82E+09,748900,4.82E+09,2.36E+07
96300,4.82E+09,748900,4.82E+09,2.37E+07
96400,4.83E+09,748900,4.83E+09,2.37E+07
96500,4.84E+09,748900,4.84E+09,2.37E+07
96600,4.84E+09,748900,4.84E+09,2.37E+07
96700,4.85E+09,748900,4.85E+09,2.38E+07
96800,4.85E+09,748900,4.85E+09,2.38E+07
96900,4.86E+09,748900,4.86E+09,2.38E+07
97000,4.86E+09,748900,4.86E+09,2.38E+07
97100,4.87E+09,748900,4.87E+09,2.39E+07
97200,4.87E+09,748900,4.87E+09,2.39E+07
97300,4.88E+09,748900,4.88E+09,2.39E+07
97400,4.88E+09,748900,4.88E+09,2.39E+07
97500,4.88E+09,748900,4.88E+09,2.39E+07
97600,4.89E+09,748900,4.89E+09,2.40E+07
97700,4.90E+09,748900,4.90E+09,2.40E+07
97800,4.90E+09,748900,4.90E+09,2.40E+07
97900,4.91E+09,748900,4.91E+09,2.41E+07
98000,4.91E+09,748900,4.91E+09,2.41E+07
